season,horizon,model_name,n_samples_total,n_positive_total,mean_brier_macro,mean_brier_weighted
autumn,7,global_climatology,401,33,0.07591578930305186,0.07591578930305186
autumn,7,logistic_lag_roll_season_station,401,33,0.200978396112448,0.200978396112448
autumn,7,persistence_event,363,29,0.10192837465564739,0.10192837465564739
autumn,7,seasonal_climatology,401,33,0.07640941519826186,0.07640941519826186
autumn,14,global_climatology,400,32,0.0739946942771404,0.0739946942771404
autumn,14,logistic_lag_roll_season_station,400,32,0.20746873976277577,0.20746873976277577
autumn,14,persistence_event,369,29,0.13821138211382114,0.13821138211382114
autumn,14,seasonal_climatology,400,32,0.07419147475640406,0.07419147475640406
autumn,21,global_climatology,399,32,0.07416332939381863,0.07416332939381863
autumn,21,logistic_lag_roll_season_station,399,32,0.20892084536370845,0.20892084536370845
autumn,21,persistence_event,358,29,0.1452513966480447,0.1452513966480447
autumn,21,seasonal_climatology,399,32,0.07461264775615001,0.07461264775615001
autumn,28,global_climatology,398,33,0.07638031185314127,0.07638031185314127
autumn,28,logistic_lag_roll_season_station,398,33,0.21235104853178402,0.21235104853178402
autumn,28,persistence_event,365,31,0.1589041095890411,0.1589041095890411
autumn,28,seasonal_climatology,398,33,0.07675240501901917,0.07675240501901917
spring,7,global_climatology,462,33,0.06678356238800189,0.06678356238800189
spring,7,logistic_lag_roll_season_station,462,33,0.23583384027557866,0.23583384027557866
spring,7,persistence_event,447,33,0.14317673378076062,0.14317673378076062
spring,7,seasonal_climatology,462,33,0.0657028647572783,0.0657028647572783
spring,14,global_climatology,462,33,0.0669125148122602,0.0669125148122602
spring,14,logistic_lag_roll_season_station,462,33,0.24271729638152253,0.24271729638152253
spring,14,persistence_event,444,30,0.14864864864864866,0.14864864864864866
spring,14,seasonal_climatology,462,33,0.0694590817668105,0.0694590817668105
spring,21,global_climatology,462,34,0.06850099262296275,0.06850099262296275
spring,21,logistic_lag_roll_season_station,462,34,0.22987680865151203,0.22987680865151203
spring,21,persistence_event,448,34,0.16517857142857142,0.16517857142857142
spring,21,seasonal_climatology,462,34,0.06857649618321202,0.06857649618321202
spring,28,global_climatology,462,34,0.06848167531487893,0.06848167531487893
spring,28,logistic_lag_roll_season_station,462,34,0.23825997638044183,0.23825997638044183
spring,28,persistence_event,447,34,0.17002237136465326,0.17002237136465326
spring,28,seasonal_climatology,462,34,0.06900419468817097,0.06900419468817097
summer,7,global_climatology,418,11,0.03023693380709253,0.03023693380709253
summer,7,logistic_lag_roll_season_station,418,11,0.12502402618820804,0.12502402618820804
summer,7,persistence_event,383,10,0.05221932114882506,0.05221932114882506
summer,7,seasonal_climatology,418,11,0.026859516861516962,0.026859516861516962
summer,14,global_climatology,418,11,0.0302134109692543,0.0302134109692543
summer,14,logistic_lag_roll_season_station,418,11,0.12595571056862317,0.12595571056862317
summer,14,persistence_event,393,11,0.05597964376590331,0.05597964376590331
summer,14,seasonal_climatology,418,11,0.02687286284009408,0.02687286284009408
summer,21,global_climatology,418,11,0.030219660612998574,0.030219660612998574
summer,21,logistic_lag_roll_season_station,418,11,0.13858120882074937,0.13858120882074937
summer,21,persistence_event,386,11,0.05181347150259067,0.05181347150259067
summer,21,seasonal_climatology,418,11,0.026899564505564848,0.026899564505564848
summer,28,global_climatology,418,11,0.03023932510041679,0.03023932510041679
summer,28,logistic_lag_roll_season_station,418,11,0.132561872623609,0.132561872623609
summer,28,persistence_event,392,10,0.04846938775510204,0.04846938775510204
summer,28,seasonal_climatology,418,11,0.026946319290464076,0.026946319290464076
winter,7,global_climatology,420,107,0.21528971753014772,0.21528971753014772
winter,7,logistic_lag_roll_season_station,420,107,0.24392311132768335,0.24392311132768335
winter,7,persistence_event,385,103,0.33506493506493507,0.33506493506493507
winter,7,seasonal_climatology,420,107,0.21198002467829644,0.21198002467829644
winter,14,global_climatology,419,100,0.20252181101645483,0.20252181101645483
winter,14,logistic_lag_roll_season_station,419,100,0.2558413931494458,0.2558413931494458
winter,14,persistence_event,380,97,0.31842105263157894,0.31842105263157894
winter,14,seasonal_climatology,419,100,0.19933224118945847,0.19933224118945847
winter,21,global_climatology,418,100,0.20293203557406875,0.20293203557406875
winter,21,logistic_lag_roll_season_station,418,100,0.2724696367712357,0.2724696367712357
winter,21,persistence_event,370,91,0.2810810810810811,0.2810810810810811
winter,21,seasonal_climatology,418,100,0.1997326175538777,0.1997326175538777
winter,28,global_climatology,419,101,0.20429666321290896,0.20429666321290896
winter,28,logistic_lag_roll_season_station,419,101,0.2658830047767994,0.2658830047767994
winter,28,persistence_event,374,90,0.3235294117647059,0.3235294117647059
winter,28,seasonal_climatology,419,101,0.20270377367738535,0.20270377367738535
