variant,season_or_regime,horizon,n_evaluated_fold_station_cells,n_cells_with_positive_events,n_cells_with_bss_vs_climatology_gt_0,fraction_positive_skill_cells,median_bss_vs_climatology,iqr_bss_vs_climatology
A_p90_exclude_summer,winter,7,385,103,126,0.32727272727272727,-6.907961944853851,22.430532217203748
A_p90_exclude_summer,winter,14,380,97,114,0.3,-8.378852304931247,22.484844761331125
A_p90_exclude_summer,winter,21,370,91,106,0.2864864864864865,-9.250369453716289,24.58026430460597
A_p90_exclude_summer,winter,28,374,90,102,0.2727272727272727,-9.625549987838882,23.78016465629825
A_p90_exclude_summer,spring,7,447,33,47,0.10538116591928251,-14.232032129115485,32.484167006977685
A_p90_exclude_summer,spring,14,444,30,38,0.08558558558558559,-16.302598173523446,33.278850661713136
A_p90_exclude_summer,spring,21,448,34,37,0.08277404921700224,-14.011586748743905,33.08614934789915
A_p90_exclude_summer,spring,28,447,34,33,0.07399103139013453,-16.676177132783643,32.695476214621365
A_p90_exclude_summer,autumn,7,363,29,41,0.11294765840220386,-14.014557858915664,26.49177900570756
A_p90_exclude_summer,autumn,14,369,29,32,0.08672086720867209,-16.984322216944282,27.208898411838923
A_p90_exclude_summer,autumn,21,358,29,34,0.09497206703910614,-15.049206008718592,27.722985147271935
A_p90_exclude_summer,autumn,28,365,31,33,0.09041095890410959,-17.16624637109074,26.081946257943148
B_p85_all_seasons,winter,7,385,128,160,0.4155844155844156,-1.8019701491579188,9.1578966130514
B_p85_all_seasons,winter,14,380,119,147,0.3868421052631579,-2.8402895740916927,9.977286931683963
B_p85_all_seasons,winter,21,370,112,134,0.3621621621621622,-3.2151201622639367,10.623501660433352
B_p85_all_seasons,winter,28,374,110,127,0.339572192513369,-3.2814435931284485,10.76632994072652
B_p85_all_seasons,spring,7,447,47,69,0.1547085201793722,-5.69952648587206,14.487085440410475
B_p85_all_seasons,spring,14,444,46,66,0.14864864864864866,-6.671300022607661,14.587370410874104
B_p85_all_seasons,spring,21,448,48,68,0.15212527964205816,-5.907314127936607,13.662425176869501
B_p85_all_seasons,spring,28,447,51,59,0.13228699551569506,-6.723435408127656,13.425538925417762
B_p85_all_seasons,summer,7,383,31,41,0.11232876712328767,-5.987380553201395,16.7447386289266
B_p85_all_seasons,summer,14,393,31,37,0.09866666666666667,-6.9873106020672475,14.934563823604012
B_p85_all_seasons,summer,21,386,31,35,0.09510869565217392,-6.967745967232791,15.1324244078834
B_p85_all_seasons,summer,28,392,30,30,0.08021390374331551,-7.540434473502608,14.021220820428665
B_p85_all_seasons,autumn,7,363,43,68,0.18732782369146006,-5.234871195555283,11.62421947558541
B_p85_all_seasons,autumn,14,369,45,61,0.16531165311653118,-6.00169340172036,12.255479428888572
B_p85_all_seasons,autumn,21,358,44,54,0.15083798882681565,-5.855094109260094,12.366839528208342
B_p85_all_seasons,autumn,28,365,44,49,0.13424657534246576,-7.124738667330362,12.030162580572817
C_p90_grouped_cold_warm,cold,7,748,132,172,0.22994652406417113,-8.576670685282336,25.309122207882318
C_p90_grouped_cold_warm,cold,14,749,126,151,0.20160213618157544,-10.61104417904694,25.418877734960983
C_p90_grouped_cold_warm,cold,21,728,120,143,0.19642857142857142,-11.455933587202797,25.6429241890899
C_p90_grouped_cold_warm,cold,28,739,121,132,0.17861975642760486,-12.751849324496112,23.930542850713255
C_p90_grouped_cold_warm,warm,7,830,43,52,0.06272617611580217,-14.135304225884832,34.5072930909984
C_p90_grouped_cold_warm,warm,14,837,41,46,0.054958183990442055,-16.69732502769506,34.65539235636564
C_p90_grouped_cold_warm,warm,21,834,45,47,0.056422569027611044,-16.795297946819566,35.79757888399222
C_p90_grouped_cold_warm,warm,28,839,44,43,0.0513126491646778,-17.570638726301727,33.61173516237928
