station_id,start_date,end_date,n_days,n_valid_pm10,missing_pct,included_for_evaluation
Avda. Francia,2009-11-12,2022-12-31,4798,3451,28.074197582325965,True
Bulevard Sud,2011-05-04,2022-12-29,4258,2475,41.874119304837954,True
Moli del Sol,2010-01-01,2022-12-31,4748,4348,8.424599831508006,True
Pista Silla,2010-01-01,2022-12-31,4748,4592,3.2855939342881224,True
Politecnico,2008-04-08,2022-12-31,5381,5091,5.389332837762495,True
Puerto Moll Trans. Ponent,2021-01-01,2022-12-31,730,707,3.150684931506853,True
Puerto Valencia,2017-01-01,2018-12-31,730,694,4.93150684931507,True
Puerto llit antic Turia,2021-07-15,2022-12-31,535,529,1.121495327102806,False
Valencia Centro,2018-10-16,2022-12-31,1538,1462,4.941482444733425,True
Viveros,2004-01-01,2022-12-29,6938,5108,26.376477371000284,True
